Timepoint,Sample,Colony,Survivorship,Polyps,Treatment,Richness.Type
Initial,JS-46-1,806-42,1,2,Ambient,Single
S1D3,JS-46-1,806-42,1,4,Ambient,Single
S2R1,JS-46-1,806-42,1,4,Ambient,Single
S2D2,JS-46-1,806-42,1,4,Ambient,Single
S2D8,JS-46-1,806-42,1,5,Ambient,Single
S2D11,JS-46-1,806-42,1,6,Ambient,Single
End,JS-46-1,806-42,1,6,Ambient,Single
Initial,JS-47-1,806-42,1,1,Ambient,Single
S1D3,JS-47-1,806-42,1,2,Ambient,Single
S2R1,JS-47-1,806-42,1,3,Ambient,Single
S2D2,JS-47-1,806-42,1,3,Ambient,Single
S2D8,JS-47-1,806-42,1,4,Ambient,Single
S2D11,JS-47-1,806-42,1,4,Ambient,Single
End,JS-47-1,806-42,1,5,Ambient,Single
Initial,JS-48-1,823-1,1,8,Ambient,Single
S1D3,JS-48-1,823-1,1,8,Ambient,Single
S2R1,JS-48-1,823-1,1,8,Ambient,Single
S2D2,JS-48-1,823-1,1,8,Ambient,Single
S2D8,JS-48-1,823-1,1,10,Ambient,Single
S2D11,JS-48-1,823-1,1,10,Ambient,Single
End,JS-48-1,823-1,1,10,Ambient,Single
Initial,JS-5-1,741-F,1,4,Ambient,Single
S1D3,JS-5-1,741-F,1,4,Ambient,Single
S2R1,JS-5-1,741-F,1,4,Ambient,Single
S2D2,JS-5-1,741-F,1,3,Ambient,Single
S2D8,JS-5-1,741-F,1,4,Ambient,Single
S2D11,JS-5-1,741-F,1,4,Ambient,Single
End,JS-5-1,741-F,1,5,Ambient,Single
Initial,JS-9-1,841-47,1,5,Ambient,Single
S1D3,JS-9-1,841-47,1,5,Ambient,Single
S2R1,JS-9-1,841-47,1,5,Ambient,Single
S2D2,JS-9-1,841-47,1,5,Ambient,Single
S2D8,JS-9-1,841-47,1,6,Ambient,Single
S2D11,JS-9-1,841-47,1,6,Ambient,Single
End,JS-9-1,841-47,1,6,Ambient,Single
Initial,JN-15-1,823-1,1,6,High,Single
S1D3,JN-15-1,823-1,1,6,High,Single
S2R1,JN-15-1,823-1,1,7,High,Single
S2D2,JN-15-1,823-1,1,6,High,Single
S2D8,JN-15-1,823-1,1,7,High,Single
S2D11,JN-15-1,823-1,0,NA,High,Single
End,JN-15-1,823-1,0,NA,High,Single
Initial,JN-17-3,806-42,1,1,Ambient,Single
S1D3,JN-17-3,806-42,1,2,Ambient,Single
S2R1,JN-17-3,806-42,1,2,Ambient,Single
S2D2,JN-17-3,806-42,1,2,Ambient,Single
S2D8,JN-17-3,806-42,1,2,Ambient,Single
S2D11,JN-17-3,806-42,1,2,Ambient,Single
End,JN-17-3,806-42,1,3,Ambient,Single
Initial,AA-8-1,811-47,1,4,High,Single
S1D3,AA-8-1,811-47,1,5,High,Single
S2R1,AA-8-1,811-47,1,5,High,Single
S2D2,AA-8-1,811-47,1,5,High,Single
S2D8,AA-8-1,811-47,1,6,High,Single
S2D11,AA-8-1,811-47,0,NA,High,Single
End,AA-8-1,811-47,0,NA,High,Single
Initial,AA-8-2,811-47,1,5,High,Single
S1D3,AA-8-2,811-47,1,5,High,Single
S2R1,AA-8-2,811-47,1,5,High,Single
S2D2,AA-8-2,811-47,1,7,High,Single
S2D8,AA-8-2,811-47,1,6,High,Single
S2D11,AA-8-2,811-47,0,NA,High,Single
End,AA-8-2,811-47,0,NA,High,Single
Initial,JA-17-1,841-47,1,3,High,Single
S1D3,JA-17-1,841-47,1,3,High,Single
S2R1,JA-17-1,841-47,1,3,High,Single
S2D2,JA-17-1,841-47,1,3,High,Single
S2D8,JA-17-1,841-47,0,NA,High,Single
S2D11,JA-17-1,841-47,0,NA,High,Single
End,JA-17-1,841-47,0,NA,High,Single
Initial,JA-17-2,841-47,1,4,High,Single
S1D3,JA-17-2,841-47,1,5,High,Single
S2R1,JA-17-2,841-47,1,5,High,Single
S2D2,JA-17-2,841-47,1,5,High,Single
S2D8,JA-17-2,841-47,1,3,High,Single
S2D11,JA-17-2,841-47,0,NA,High,Single
