Date,Week,StressDay,Treatment,Colony,Reef,Plate,RackRep,Frag,Table,Temperature,ID,Time,Notes
20190610,12,1,Single,24,,1_24_P01,7,1_24_26,C,High,432,2105,
20190610,12,1,Single,24,,1_24_P01,10,1_24_3,C,High,424,2105,
20190610,12,1,Single,24,,1_24_P01,8,1_24_30,C,High,428,2105,
20190610,12,1,Single,24,,1_24_P01,2,1_24_32,C,High,426,2105,
20190610,12,1,Single,24,,1_24_P01,4,1_24_35,C,High,423,2105,
20190610,12,1,Single,24,,1_24_P01,6,1_24_7,C,High,431,2105,
20190610,12,1,Single,24,,1_24_P02,1,1_24_1,D,High,515,2123,
20190610,12,1,Single,24,,1_24_P02,2,1_24_10,D,High,518,2123,
20190610,12,1,Single,24,,1_24_P02,5,1_24_18,D,High,519,2123,
20190610,12,1,Single,24,,1_24_P02,3,1_24_2,D,High,514,2123,
20190610,12,1,Single,24,,1_24_P02,9,1_24_31,D,High,516,2123,
20190610,12,1,Single,24,,1_24_P02,6,1_24_36,D,High,517,2123,
20190610,12,1,Single,24,,1_24_P02,4,1_24_37,D,High,513,2123,
20190610,12,1,Single,24,,1_24_P02,7,1_24_39,D,High,520,2123,
20190610,12,1,Single,24,,1_24_P02,8,1_24_40,D,High,522,2123,
20190610,12,1,Single,24,,1_24_P02,10,1_24_9,D,High,521,2123,
20190610,12,1,Single,24,,1_24_P03,8,1_24_13,A,Ambient,95,1951,
20190610,12,1,Single,24,,1_24_P03,5,1_24_16,A,Ambient,91,1951,
20190610,12,1,Single,24,,1_24_P03,4,1_24_21,A,Ambient,96,1951,
20190610,12,1,Single,24,,1_24_P03,2,1_24_23,A,Ambient,98,1951,
20190610,12,1,Single,24,,1_24_P03,9,1_24_29,A,Ambient,100,1951,
20190610,12,1,Single,24,,1_24_P03,7,1_24_38,A,Ambient,97,1951,
20190610,12,1,Single,24,,1_24_P03,10,1_24_4,A,Ambient,93,1951,
20190610,12,1,Single,24,,1_24_P03,1,1_24_6,A,Ambient,99,1951,
20190610,12,1,Single,24,,1_24_P03,6,1_24_61,A,Ambient,101,1951,
20190610,12,1,Single,24,,1_24_P03,3,1_24_8,A,Ambient,92,1951,
20190610,12,1,Single,24,,1_24_P04,3,1_24_11,B,Ambient,231,2019,
20190610,12,1,Single,24,,1_24_P04,7,1_24_12,B,Ambient,224,2019,
20190610,12,1,Single,24,,1_24_P04,10,1_24_14,B,Ambient,227,2019,
20190610,12,1,Single,24,,1_24_P04,8,1_24_15,B,Ambient,228,2019,
20190610,12,1,Single,24,,1_24_P04,2,1_24_22,B,Ambient,222,2019,
20190610,12,1,Single,24,,1_24_P04,9,1_24_24,B,Ambient,229,2019,
20190610,12,1,Single,24,,1_24_P04,5,1_24_27,B,Ambient,230,2019,
20190610,12,1,Single,24,,1_24_P04,1,1_24_28,B,Ambient,223,2019,
20190610,12,1,Single,24,,1_24_P04,6,1_24_34,B,Ambient,225,2019,
20190610,12,1,Single,24,,1_24_P04,4,1_24_5,B,Ambient,226,2019,
20190610,12,1,Single,3,,1_3_P01,4,1_3_10,C,High,368,2053,
20190610,12,1,Single,3,,1_3_P01,2,1_3_2,C,High,370,2053,
20190610,12,1,Single,3,,1_3_P01,10,1_3_21,C,High,364,2053,
20190610,12,1,Single,3,,1_3_P01,1,1_3_25,C,High,366,2053,
20190610,12,1,Single,3,,1_3_P01,3,1_3_30,C,High,363,2053,
20190610,12,1,Single,3,,1_3_P01,6,1_3_33,C,High,367,2053,
20190610,12,1,Single,3,,1_3_P01,5,1_3_34,C,High,365,2053,
20190610,12,1,Single,3,,1_3_P01,7,1_3_38,C,High,372,2053,
20190610,12,1,Single,3,,1_3_P01,9,1_3_39,C,High,369,2053,
20190610,12,1,Single,3,,1_3_P01,8,1_3_40,C,High,371,2053,
20190610,12,1,Single,3,,1_3_P02,8,1_3_14,D,High,577,2139,
20190610,12,1,Single,3,,1_3_P02,1,1_3_15,D,High,580,2139,
20190610,12,1,Single,3,,1_3_P02,4,1_3_18,D,High,581,2139,
20190610,12,1,Single,3,,1_3_P02,6,1_3_27,D,High,576,2139,
20190610,12,1,Single,3,,1_3_P02,7,1_3_36,D,High,575,2139,
20190610,12,1,Single,3,,1_3_P02,5,1_3_37,D,High,579,2139,
20190610,12,1,Single,3,,1_3_P02,2,1_3_4,D,High,583,2139,
20190610,12,1,Single,3,,1_3_P02,10,1_3_5,D,High,582,2139,
20190610,12,1,Single,3,,1_3_P02,3,1_3_8,D,High,578,2139,
20190610,12,1,Single,3,,1_3_P02,9,1_3_9,D,High,574,2139,
20190610,12,1,Single,3,,1_3_P03,4,1_3_1,B,Ambient,167,2006,
20190610,12,1,Single,3,,1_3_P03,10,1_3_16,B,Ambient,170,2006,
20190610,12,1,Single,3,,1_3_P03,2,1_3_19,B,Ambient,162,2006,
20190610,12,1,Single,3,,1_3_P03,5,1_3_24,B,Ambient,164,2006,
20190610,12,1,Single,3,,1_3_P03,1,1_3_28,B,Ambient,166,2006,
20190610,12,1,Single,3,,1_3_P03,9,1_3_29,B,Ambient,165,2006,
20190610,12,1,Single,3,,1_3_P03,7,1_3_3,B,Ambient,171,2006,
20190610,12,1,Single,3,,1_3_P03,8,1_3_32,B,Ambient,163,2006,
20190610,12,1,Single,3,,1_3_P03,3,1_3_6,B,Ambient,169,2006,
20190610,12,1,Single,3,,1_3_P03,6,1_3_7,B,Ambient,168,2006,
20190610,12,1,Single,3,,1_3_P04,2,1_3_11,A,Ambient,10,1930,
20190610,12,1,Single,3,,1_3_P04,1,1_3_12,A,Ambient,6,1930,
20190610,12,1,Single,3,,1_3_P04,5,1_3_13,A,Ambient,1,1930,
20190610,12,1,Single,3,,1_3_P04,10,1_3_17,A,Ambient,3,1930,
20190610,12,1,Single,3,,1_3_P04,3,1_3_20,A,Ambient,2,1930,
20190610,12,1,Single,3,,1_3_P04,9,1_3_22,A,Ambient,9,1930,
20190610,12,1,Single,3,,1_3_P04,8,1_3_23,A,Ambient,7,1930,
20190610,12,1,Single,3,,1_3_P04,4,1_3_26,A,Ambient,4,1930,
20190610,12,1,Single,3,,1_3_P04,6,1_3_31,A,Ambient,8,1930,
20190610,12,1,Single,3,,1_3_P04,7,1_3_35,A,Ambient,5,1930,
20190610,12,1,Single,31,,1_31_P01,7,1_31_11,D,High,500,2119,
20190610,12,1,Single,31,,1_31_P01,6,1_31_12,D,High,498,2119,
20190610,12,1,Single,31,,1_31_P01,3,1_31_15,D,High,497,2119,
20190610,12,1,Single,31,,1_31_P01,4,1_31_17,D,High,495,2119,
20190610,12,1,Single,31,,1_31_P01,1,1_31_18,D,High,496,2119,
20190610,12,1,Single,31,,1_31_P01,8,1_31_19,D,High,502,2119,
20190610,12,1,Single,31,,1_31_P01,5,1_31_21,D,High,499,2119,
20190610,12,1,Single,31,,1_31_P01,10,1_31_27,D,High,493,2119,
20190610,12,1,Single,31,,1_31_P01,2,1_31_36,D,High,494,2119,
20190610,12,1,Single,31,,1_31_P01,9,1_31_61,D,High,501,2119,
20190610,12,1,Single,31,,1_31_P02,6,1_31_13,B,Ambient,282,2029,
20190610,12,1,Single,31,,1_31_P02,1,1_31_29,B,Ambient,278,2029,
20190610,12,1,Single,31,,1_31_P02,3,1_31_3,B,Ambient,281,2029,
20190610,12,1,Single,31,,1_31_P02,7,1_31_30,B,Ambient,280,2029,
20190610,12,1,Single,31,,1_31_P02,9,1_31_31,B,Ambient,276,2029,
20190610,12,1,Single,31,,1_31_P02,5,1_31_38,B,Ambient,273,2029,
20190610,12,1,Single,31,,1_31_P02,8,1_31_39,B,Ambient,275,2029,
20190610,12,1,Single,31,,1_31_P02,2,1_31_40,B,Ambient,274,2029,
20190610,12,1,Single,31,,1_31_P02,10,1_31_62,B,Ambient,277,2029,
20190610,12,1,Single,31,,1_31_P02,4,1_31_7,B,Ambient,279,2029,
20190610,12,1,Single,31,,1_31_P03,6,1_31_1,A,Ambient,43,1941,
20190610,12,1,Single,31,,1_31_P03,4,1_31_10,A,Ambient,47,1941,
20190610,12,1,Single,31,,1_31_P03,10,1_31_16,A,Ambient,41,1941,
20190610,12,1,Single,31,,1_31_P03,3,1_31_2,A,Ambient,45,1941,
20190610,12,1,Single,31,,1_31_P03,5,1_31_23,A,Ambient,49,1941,
20190610,12,1,Single,31,,1_31_P03,1,1_31_25,A,Ambient,50,1941,
20190610,12,1,Single,31,,1_31_P03,9,1_31_28,A,Ambient,44,1941,
20190610,12,1,Single,31,,1_31_P03,8,1_31_33,A,Ambient,46,1941,
20190610,12,1,Single,31,,1_31_P03,7,1_31_37,A,Ambient,42,1941,
20190610,12,1,Single,31,,1_31_P03,2,1_31_9,A,Ambient,48,1941,
20190610,12,1,Single,31,,1_31_P04,3,1_31_14,C,High,396,2058,
20190610,12,1,Single,31,,1_31_P04,5,1_31_20,C,High,395,2058,
20190610,12,1,Single,31,,1_31_P04,6,1_31_22,C,High,394,2058,
20190610,12,1,Single,31,,1_31_P04,4,1_31_24,C,High,400,2058,
20190610,12,1,Single,31,,1_31_P04,8,1_31_26,C,High,393,2058,
20190610,12,1,Single,31,,1_31_P04,2,1_31_35,C,High,NA,NA,DEAD
20190610,12,1,Single,31,,1_31_P04,7,1_31_4,C,High,399,2058,
20190610,12,1,Single,31,,1_31_P04,9,1_31_5,C,High,398,2058,
20190610,12,1,Single,31,,1_31_P04,1,1_31_6,C,High,397,2058,
20190610,12,1,Single,31,,1_31_P04,10,1_31_8,C,High,401,2058,
20190610,12,1,Single,32,,1_32_P01,7,1_32_1,A,Ambient,23,1937,
20190610,12,1,Single,32,,1_32_P01,4,1_32_15,A,Ambient,26,1937,
20190610,12,1,Single,32,,1_32_P01,3,1_32_2,A,Ambient,28,1937,
20190610,12,1,Single,32,,1_32_P01,6,1_32_20,A,Ambient,21,1937,
20190610,12,1,Single,32,,1_32_P01,8,1_32_22,A,Ambient,25,1937,
20190610,12,1,Single,32,,1_32_P01,9,1_32_24,A,Ambient,30,1937,
20190610,12,1,Single,32,,1_32_P01,5,1_32_33,A,Ambient,27,1937,
20190610,12,1,Single,32,,1_32_P01,2,1_32_35,A,Ambient,22,1937,
20190610,12,1,Single,32,,1_32_P01,10,1_32_61,A,Ambient,29,1937,
20190610,12,1,Single,32,,1_32_P01,1,1_32_62,A,Ambient,24,1937,
20190610,12,1,Single,32,,1_32_P02,4,1_32_14,B,Ambient,159,2004,
20190610,12,1,Single,32,,1_32_P02,3,1_32_17,B,Ambient,161,2004,
20190610,12,1,Single,32,,1_32_P02,5,1_32_21,B,Ambient,158,2004,
20190610,12,1,Single,32,,1_32_P02,1,1_32_30,B,Ambient,157,2004,
20190610,12,1,Single,32,,1_32_P02,9,1_32_31A,B,Ambient,156,2004,
20190610,12,1,Single,32,,1_32_P02,6,1_32_34,B,Ambient,152,2004,
20190610,12,1,Single,32,,1_32_P02,7,1_32_4,B,Ambient,154,2004,
20190610,12,1,Single,32,,1_32_P02,6,1_32_40,B,Ambient,155,2004,
20190610,12,1,Single,32,,1_32_P02,1,1_32_63,B,Ambient,160,2004,
20190610,12,1,Single,32,,1_32_P02,10,1_32_7,B,Ambient,153,2004,
20190610,12,1,Single,32,,1_32_P03,2,1_32_10A,D,High,492,2117,
20190610,12,1,Single,32,,1_32_P03,1,1_32_13,D,High,484,2117,
20190610,12,1,Single,32,,1_32_P03,4,1_32_26,D,High,490,2117,
20190610,12,1,Single,32,,1_32_P03,6,1_32_28,D,High,487,2117,
20190610,12,1,Single,32,,1_32_P03,5,1_32_3,D,High,486,2117,
20190610,12,1,Single,32,,1_32_P03,10,1_32_31B,D,High,488,2117,
20190610,12,1,Single,32,,1_32_P03,9,1_32_38,D,High,485,2117,
20190610,12,1,Single,32,,1_32_P03,8,1_32_64,D,High,483,2117,
20190610,12,1,Single,32,,1_32_P03,3,1_32_65,D,High,491,2117,
20190610,12,1,Single,32,,1_32_P03,7,1_32_9,D,High,489,2117,
20190610,12,1,Single,32,,1_32_P04,6,1_32_10B,C,High,414,2102,
20190610,12,1,Single,32,,1_32_P04,8,1_32_11,C,High,420,2102,
20190610,12,1,Single,32,,1_32_P04,5,1_32_16,C,High,422,2102,
20190610,12,1,Single,32,,1_32_P04,4,1_32_19,C,High,418,2102,
20190610,12,1,Single,32,,1_32_P04,9,1_32_23,C,High,416,2102,
20190610,12,1,Single,32,,1_32_P04,1,1_32_25,C,High,419,2102,
20190610,12,1,Single,32,,1_32_P04,7,1_32_32,C,High,421,2102,
20190610,12,1,Single,32,,1_32_P04,2,1_32_37,C,High,415,2102,
20190610,12,1,Single,32,,1_32_P04,10,1_32_5,C,High,417,2102,
20190610,12,1,Single,32,,1_32_P04,3,1_32_8,C,High,413,2102,
20190610,12,1,Single,4,,1_4_P01,10,1_4_1,D,High,548,2133,
20190610,12,1,Single,4,,1_4_P01,3,1_4_14,D,High,545,2133,
20190610,12,1,Single,4,,1_4_P01,9,1_4_17,D,High,552,2133,
